SHEET: Metrics Catalog,,,,,,,,,
Metric ID,Metric Name,Section,Description,Formula (Current / Mock),Real SQL Formula,Real Tables Required,Data Status,Display Type
P18,Active Users Count (Status),People – User Table,"Users with health_score >= 75 — classified as Active","COUNT(dateUsers WHERE health_score >= 75) — LIVE computation on frontend","Computed on frontend after health_score calculated via M43 per user","raw_iam_activities, raw_audit_logs","LIVE (Computed — depends on P02 real formula)",Count
P19,At Risk Users Count (Status),People – User Table,"Users with 50 <= health_score < 75 — classified as At Risk","COUNT(dateUsers WHERE health_score >= 50 AND < 75) — LIVE","Computed on frontend after M43 health scores loaded","raw_iam_activities, raw_audit_logs","LIVE (Computed — depends on P02 real formula)",Count
P20,Inactive Users Count (Status),People – User Table,"Users with health_score < 50 — classified as Inactive","COUNT(dateUsers WHERE health_score < 50) — LIVE","Computed on frontend after M43 health scores loaded","raw_iam_activities, raw_audit_logs","LIVE (Computed — depends on P02 real formula)",Count
P21,User Login Success Rate,People – User Table,"Percentage of login attempts that succeeded per user","user.login_success_rate — hardcoded per user","SELECT user_id, COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 GROUP BY user_id","raw_iam_activities","LIVE (Supabase)",Percentage
P22,User Sessions (30d),People – User Table,"Sessions count per individual user in last 30 days","user.sessions_30d — hardcoded per user","Sessions from raw_iam_activities (60-min gap) WHERE user_id=X AND created_on >= CURRENT_DATE-30 AND platform_id=6","raw_iam_activities","LIVE (Supabase) (M14)",Count
P23,User Events (30d),People – User Table,"Events triggered by individual user in last 30 days","user.events_30d — hardcoded per user","SELECT COUNT(*) FROM raw_audit_logs WHERE user_id=X AND platform_id=6 AND type='ACTIVITY' AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
P24,User Avg Session Duration,People – User Table,"Average session length in minutes per user","user.avg_session_min — hardcoded per user","AVG(MAX(created_on) - MIN(created_on)) per session_id for that user. Sessions from 60-min gap rule across raw_iam_activities + raw_audit_logs","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M15)",Time (minutes)
P25,User Services Used,People – User Table,"Number of distinct services the user has interacted with","user.services_used — hardcoded per user","SELECT COUNT(DISTINCT service_id) FROM raw_audit_logs WHERE user_id=X AND platform_id=6","raw_audit_logs","LIVE (Supabase)",Count
P26,Cohort Retention W1,People – Cohort Heatmap,"% of cohort who returned within week 1 of first login","cohort[month].w1 — hardcoded","first_login = MIN(created_on) per user. cohort = DATE_FORMAT(first_login,'%Y-%m'). w1_retained = users WHERE EXISTS(login BETWEEN first_login+1d AND first_login+7d). w1 = retained/cohort_size * 100","raw_iam_activities","LIVE (Supabase) (M12 — W1 window)",Percentage
P27,Cohort Retention W2,People – Cohort Heatmap,"% of cohort who returned in week 2 after first login","cohort[month].w2 — hardcoded","Same as W1 but window = first_login+7d to first_login+14d","raw_iam_activities","LIVE (Supabase) (M12)",Percentage
P28,Cohort Retention W4,People – Cohort Heatmap,"% of cohort who returned in week 4 after first login","cohort[month].w4 — hardcoded","Same as W1 but window = first_login+21d to first_login+28d","raw_iam_activities","LIVE (Supabase) (M12)",Percentage
P29,Cohort Retention M2,People – Cohort Heatmap,"% of cohort who returned in month 2 after first login","cohort[month].m2 — hardcoded","cohort = DATE_FORMAT(first_login,'%Y-%m'). m2_retained = users WHERE EXISTS(login in cohort+1 month). rate = retained/cohort_size * 100","raw_iam_activities","LIVE (Supabase) (M12)",Percentage
P30,Cohort Retention M3,People – Cohort Heatmap,"% of cohort who returned in month 3 after first login","cohort[month].m3 — hardcoded","Same as M2 but window = cohort+2 months","raw_iam_activities","LIVE (Supabase) (M12)",Percentage
P31,Cohort Size,People – Cohort Heatmap,"Number of users in each monthly cohort (grouped by first login month)","cohort[month].size — hardcoded","SELECT DATE_FORMAT(MIN(created_on),'%Y-%m') AS cohort, COUNT(DISTINCT user_id) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 GROUP BY user_id — then GROUP BY cohort","raw_iam_activities","LIVE (Supabase) (M12)",Count
P32,Avg Session Duration by Role,People – Session Depth,"Average session length (minutes) per user role","sessions.by_role[role].avg_duration_min — hardcoded","Compute session durations (M15) JOIN raw_iam_user_groups + raw_iam_groups. AVG(duration_min) GROUP BY g.name","raw_iam_activities, raw_audit_logs, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase) (M17)",Time (minutes)
P33,Avg Events per Session by Role,People – Session Depth,"Average events per session per user role","sessions.by_role[role].avg_events — hardcoded","AVG(events_in_session) per role. Events from raw_audit_logs per session, roles from raw_iam_user_groups + raw_iam_groups","raw_audit_logs, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Count
P34,Total Sessions by Role,People – Session Depth,"Total session count per user role","sessions.by_role[role].sessions — hardcoded","COUNT(session_id) per role using session assignment + user_has_groups JOIN group_master","raw_iam_activities, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",Count
,,,,,,,,
--- SERVICES SECTION ---,,,,,,,,
S01,Active Services Count,Services – KPI,"Total number of distinct services active on the platform","COUNT(services[]) — hardcoded","SELECT COUNT(DISTINCT service_id) FROM raw_audit_logs WHERE platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
S02,Total Events All Services (30d),Services – KPI,"Sum of events across all services in last 30 days","SUM(services[].events_30d) — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE platform_id=6 AND type='ACTIVITY' AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
S03,Weighted Success Rate,Services – KPI,"Volume-weighted average success rate across all services","SUM(service.success_rate * service.events_30d) / SUM(service.events_30d) — LIVE from mock","SUM(success_count_per_service * events_per_service) / SUM(events_per_service) WHERE success = status='SUCCESS' FROM raw_audit_logs GROUP BY service_id","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Percentage
S04,Top Service by Volume,Services – KPI,"Service with highest event count in last 30 days","services[MAX(events_30d)].service_name — LIVE","SELECT s.name FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name ORDER BY COUNT(*) DESC LIMIT 1","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Service Name
S05,Top Service Events (30d),Services – KPI,"Event count of the highest-volume service","services[MAX(events_30d)].events_30d — LIVE","COUNT(*) for top service from above query","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Count
S06,Total Report Exports (30d),Services – KPI,"Sum of reports generated across all services in last 30 days","SUM(services[].report_count_30d) — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase) (M32 — 1143 report events confirmed in dataset)",Count
S07,Services with Reports Enabled,Services – KPI,"Count of services that have report generation enabled","COUNT(services WHERE has_reports=true) — hardcoded","SELECT COUNT(DISTINCT service_id) FROM raw_audit_logs WHERE type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6","raw_audit_logs","LIVE (Supabase)",Count
S08,Service Events (30d),Services – Service Card,"Events triggered within each service in last 30 days","service.events_30d — hardcoded per service","SELECT s.name, COUNT(*) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Count
S09,Service Active Users (30d),Services – Service Card,"Unique users per service in last 30 days","service.active_users_30d — hardcoded per service","SELECT s.name, COUNT(DISTINCT a.user_id) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name","raw_audit_logs, raw_iam_services","LIVE (Supabase) (M5)",Count
S10,Service Success Rate,Services – Service Card,"Percentage of events per service that completed successfully","service.success_rate — hardcoded per service","SELECT s.name, COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.platform_id=6 GROUP BY s.name","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Percentage
S11,Service Status Badge,Services – Service Card,"SUCCESS (>=90%) | PENDING (80-89%) | FAILED (<80%) derived from success rate","Derived from S10 — LIVE computation","IF S10 >= 90 THEN SUCCESS; IF >= 80 THEN PENDING; ELSE FAILED","raw_audit_logs","LIVE (Computed from S10)",Status
S12,Avg Events per Session per Service,Services – Service Card,"Average number of events per session within that service","service.avg_events_per_session — hardcoded per service","AVG(events_per_session) per service_id. Events from raw_audit_logs per session window, sessions from raw_iam_activities (60-min gap)","raw_audit_logs, raw_iam_activities, raw_iam_services","LIVE (Supabase) (M18)",Count
S13,Service Trend,Services – Service Card,"Period-over-period change in service event volume","service.trend — hardcoded per service","(events_this_30d - events_prev_30d) / events_prev_30d * 100 per service_id","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Percentage (±)
S14,Service Peak Hour,Services – Service Card,"Hour of day (0-23) with highest event count per service","service.peak_hour — hardcoded per service","SELECT service_id, HOUR(created_on), COUNT(*) FROM raw_audit_logs WHERE platform_id=6 GROUP BY service_id, HOUR(created_on) ORDER BY COUNT(*) DESC — pick MAX per service","raw_audit_logs","LIVE (Supabase) (M49)",Hour (0–23)
S15,Service Top Events,Services – Service Card,"Most frequently triggered event types within the service","service.top_events[] — hardcoded per service","SELECT e.label, COUNT(*) FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.service_id=X AND a.platform_id=6 GROUP BY e.label ORDER BY COUNT(*) DESC LIMIT 5","raw_audit_logs, gq_iam_event_master","LIVE (Supabase)",Event Name List
S16,Service Report Count (30d),Services – Service Card,"Reports generated for each service","service.report_count_30d — hardcoded per service","SELECT service_id, COUNT(*) FROM raw_audit_logs WHERE type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6 AND created_on >= CURRENT_DATE-30 GROUP BY service_id","raw_audit_logs","LIVE (Supabase) (M32)",Count
S17,Service Report Export Rate,Services – Service Card,"Percentage of generated reports that were exported","service.report_export_rate — hardcoded per service","Parse json_loads(data)['new_data'].get('export'). export_count per service / total_report_events per service * 100","raw_audit_logs (JSON payload — 364 rows with export key confirmed)","LIVE (Supabase) (M33)",Percentage
S18,Heatmap – Events by Service & Hour,Services – Activity Heatmap,"Count of events per service per hour of day","heatmap.matrix[service][hour].count — hardcoded","SELECT s.name, HOUR(a.created_on), COUNT(*) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.platform_id=6 GROUP BY s.name, HOUR(a.created_on)","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Heatmap Cell
S19,Heatmap – Hour Range Filter,Services – Activity Heatmap,"Filtered heatmap cells within user-selected hour range","FILTER heatmap WHERE hour >= hourRange[0] AND hour <= hourRange[1] — LIVE","Same query as S18 with additional WHERE HOUR(a.created_on) BETWEEN :min AND :max","raw_audit_logs, raw_iam_services","LIVE (Computed from S18)",Heatmap (filtered)
S20,Success Rate Comparison,Services – Bar Chart,"Sorted bar chart comparing success rates across services","services[].{name, success_rate} sorted DESC — LIVE from mock","Same as S10 ordered by success rate DESC","raw_audit_logs, raw_iam_services","LIVE (Computed from S10)",Percentage per Service
S21,Top Events Aggregated,Services – Bar Chart,"Top 8 events by volume across all services","Aggregate top_events[] from visible services — LIVE","SELECT e.label, COUNT(*) FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.platform_id=6 GROUP BY e.label ORDER BY COUNT(*) DESC LIMIT 8","raw_audit_logs, gq_iam_event_master","LIVE (Computed — source data hardcoded)",Count
S22,Recent Event – Timestamp,Services – Event Feed,"ISO timestamp of each recent event","user_events[].ts — hardcoded","raw_audit_logs.created_on (latest N rows)","raw_audit_logs","LIVE (Supabase)",Timestamp
S23,Recent Event – Status,Services – Event Feed,"SUCCESS or FAILED outcome of recent event","user_events[].status — hardcoded","raw_audit_logs.status","raw_audit_logs","LIVE (Supabase)",Status
S24,Recent Event – Service,Services – Event Feed,"Service name where event occurred","user_events[].service — hardcoded","raw_iam_services.name via JOIN on service_id","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Service Name
S25,Recent Event – Type,Services – Event Feed,"Name of the event triggered","user_events[].event — hardcoded","gq_iam_event_master.label via JOIN on event_id","raw_audit_logs, gq_iam_event_master","LIVE (Supabase)",Event Name
S26,Recent Event – User,Services – Event Feed,"Name of user who triggered event","user_events[].user_name — hardcoded","gq_iam_users.email via JOIN on user_id","raw_audit_logs, gq_iam_users","LIVE (Supabase)",User Name
S27,Drill – Success Rate Series,Services – Drill-Down,"Daily success rate trend for a specific service over last 8 days","drill[service_id].success_series[date].rate — hardcoded","SELECT DATE(created_on), COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs WHERE service_id=:id AND platform_id=6 AND created_on >= CURRENT_DATE-8 GROUP BY DATE(created_on)","raw_audit_logs","LIVE (Supabase)",Time Series
S28,Drill – Events Breakdown,Services – Drill-Down,"Count and success rate per event type within a specific service","drill[service_id].events_breakdown[] — hardcoded","SELECT e.label, COUNT(*), COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.service_id=:id AND a.platform_id=6 GROUP BY e.label","raw_audit_logs, gq_iam_event_master","LIVE (Supabase)",Event Stats
S29,Drill – Top Users,Services – Drill-Down,"Users with highest event count in selected service with their role","drill[service_id].top_users[] — hardcoded","SELECT u.email, g.name AS role, COUNT(*) AS events FROM raw_audit_logs a JOIN gq_iam_users u ON a.user_id=u.id JOIN raw_iam_user_groups uhg ON a.user_id=uhg.user_id AND uhg.deleted_on IS NULL JOIN raw_iam_groups g ON uhg.group_id=g.id WHERE a.service_id=:id AND a.platform_id=6 GROUP BY u.email, g.name ORDER BY events DESC LIMIT 10","raw_audit_logs, gq_iam_users, raw_iam_user_groups, raw_iam_groups","LIVE (Supabase)",User List
S30,Drill – Total Reports,Services – Drill-Down,"Total reports generated for the service","drill[service_id].report_metrics.total_reports — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE service_id=:id AND type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6","raw_audit_logs","LIVE (Supabase) (M32)",Count
S31,Drill – Reports Exported,Services – Drill-Down,"Count of reports actually exported by users","drill[service_id].report_metrics.exported — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE service_id=:id AND type IN ('REPORT','REPORT-ALL-GILE') AND JSON_EXTRACT(data,'$.new_data.export') IS NOT NULL AND platform_id=6","raw_audit_logs (JSON payload)","LIVE (Supabase) (M33 — 364 rows with export key confirmed)",Count
S32,Drill – Report Export Rate,Services – Drill-Down,"Percentage of generated reports that were exported","drill[service_id].report_metrics.export_rate — hardcoded","S31 / S30 * 100 per service","raw_audit_logs (JSON payload)","LIVE (Supabase)",Percentage
S33,Drill – Report Types,Services – Drill-Down,"Breakdown of report categories and their export volumes","drill[service_id].report_metrics.report_types[] — hardcoded","SELECT JSON_EXTRACT(data,'$.new_data.report_type') AS type, COUNT(*) FROM raw_audit_logs WHERE service_id=:id AND type IN ('REPORT','REPORT-ALL-GILE') AND platform_id=6 GROUP BY type","raw_audit_logs (JSON payload — 1426 rows with report_type confirmed)","LIVE (Supabase) (M35)",Category Counts
S34,Drill – Reports by User,Services – Drill-Down,"Count of reports exported per user within the service","drill[service_id].report_metrics.by_user[] — hardcoded","SELECT u.email, COUNT(*) AS report_exports FROM raw_audit_logs a JOIN gq_iam_users u ON a.user_id=u.id WHERE a.service_id=:id AND a.type IN ('REPORT','REPORT-ALL-GILE') AND JSON_EXTRACT(data,'$.new_data.export') IS NOT NULL GROUP BY u.email ORDER BY report_exports DESC","raw_audit_logs, gq_iam_users","LIVE (Supabase)",User Report Counts
,,,,,,,,
--- HEALTH SECTION ---,,,,,,,,
H01,Overall Success Rate,Health – KPI,"Percentage of all platform events that completed successfully","kpis.success_rate — hardcoded","SELECT COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs WHERE platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase) (M34 variant)",Percentage
H02,Login Success Rate,Health – KPI,"Percentage of login attempts that passed authentication","kpis.login_success_rate — hardcoded","SELECT COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Percentage
H03,Failed Events (30d),Health – KPI,"Total count of failed events in last 30 days","kpis.failed_events_30d — hardcoded","SELECT COUNT(*) FROM raw_audit_logs WHERE status IN ('FAILED','FAILURE') AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase) (M2 variant)",Count
H04,Unique Error Types,Health – KPI,"Number of distinct error/failure categories","kpis.unique_error_types — hardcoded","SELECT COUNT(DISTINCT event_id) FROM raw_audit_logs WHERE status IN ('FAILED','FAILURE') AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_audit_logs","LIVE (Supabase)",Count
H05,API Error Rate,Health – KPI,"Percentage of API calls that returned an error","kpis.api_error_rate — hardcoded","Not directly derivable from available tables — raw_audit_logs tracks event status not HTTP API calls","N/A","LIVE (Supabase) — DATA NOT AVAILABLE in current tables",Percentage
H06,p95 Latency,Health – KPI,"95th percentile response latency in milliseconds","kpis.p95_latency_ms — hardcoded","Not available — no latency/response_time field in any of the 7 tables","N/A","LIVE (Supabase) — DATA NOT AVAILABLE in current tables",Time (ms)
H07,Consecutive Failure Streaks,Health – KPI,"Count of consecutive failure sequences","kpis.consecutive_fail_streaks — hardcoded","Per user per service sorted by created_on: detect runs of consecutive status IN ('FAILED','FAILURE'). COUNT(runs >= 2 consecutive failures)","raw_audit_logs","LIVE (Supabase) — Formula Possible but Complex",Count
H08,Most Failed Service,Health – KPI,"Service with highest failure count in last 30 days","failure_by_service[MAX(failed)].service — LIVE","SELECT s.name FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.status IN ('FAILED','FAILURE') AND a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name ORDER BY COUNT(*) DESC LIMIT 1","raw_audit_logs, raw_iam_services","LIVE (Computed — source data hardcoded)",Service Name
H09,Most Failed Event Type,Health – KPI,"Event type with highest failure rate","failure_by_event[MAX(failure_rate)].event — LIVE","SELECT e.label, COUNT(CASE WHEN status IN ('FAILED','FAILURE') THEN 1 END)*100.0/COUNT(*) AS rate FROM raw_audit_logs a JOIN gq_iam_event_master e ON a.event_id=e.id WHERE a.platform_id=6 GROUP BY e.label ORDER BY rate DESC LIMIT 1","raw_audit_logs, gq_iam_event_master","LIVE (Computed — source data hardcoded)",Event Name
H10,Success Rate vs Prev,Health – Trend,"Change in overall success rate vs previous 30 days","trends.success_rate_vs_prev — hardcoded","success_rate_this_30d - success_rate_prev_30d (both from H01 formula for respective windows)","raw_audit_logs","LIVE (Supabase)",Percentage (±)
H11,Daily Success Rate,Health – Line Chart,"Platform-wide success rate per day over last 8 days","success_rate_series[date].rate — hardcoded","SELECT DATE(created_on), COUNT(CASE WHEN status='SUCCESS' THEN 1 END)*100.0/COUNT(*) FROM raw_audit_logs WHERE platform_id=6 GROUP BY DATE(created_on) ORDER BY DATE(created_on) DESC LIMIT 8","raw_audit_logs","LIVE (Supabase)",Time Series
H12,Login Funnel – Attempt,Health – Login Funnel,"Total login attempts (top of funnel)","login_funnel[Attempt].count — hardcoded","SELECT COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H13,Login Funnel – Auth Pass,Health – Login Funnel,"Login attempts that passed authentication","login_funnel[Auth Pass].count — hardcoded","SELECT COUNT(*) FROM raw_iam_activities WHERE type='LOGIN' AND status='SUCCESS' AND platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H14,Login Funnel – Session Created,Health – Login Funnel,"Authenticated logins resulting in active session","login_funnel[Session].count — hardcoded","Sessions formed from raw_iam_activities (60-min gap) WHERE platform_id=6 AND created_on >= CURRENT_DATE-30","raw_iam_activities","LIVE (Supabase)",Count
H15,Login Funnel – Action Taken,Health – Login Funnel,"Sessions where user performed at least one action","login_funnel[Action].count — hardcoded","COUNT(sessions WHERE EXISTS raw_audit_logs event for same user_id within session window AND platform_id=6)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M45)",Count
H16,Auth Rate,Health – Login Funnel,"Percentage of login attempts that passed auth","H13/H12*100 — LIVE","H13/H12 * 100","raw_iam_activities","LIVE (Computed from H12 + H13)",Percentage
H17,Session-to-Action Rate,Health – Login Funnel,"Percentage of created sessions where user took action","H15/H14*100 — LIVE","H15/H14 * 100","raw_iam_activities, raw_audit_logs","LIVE (Computed from H14 + H15)",Percentage
H18,Bounce Rate,Health – Login Funnel,"Percentage of sessions that ended without any user action","session_stats.kpis.bounce_rate — hardcoded","shallow_sessions / total_sessions * 100 = 100 - P04 (Completion Rate)","raw_iam_activities, raw_audit_logs","LIVE (Supabase) (M52)",Percentage
H19,Failed Events per Service,Health – Failure by Service,"Count of failed events per service","failure_by_service[service].failed — hardcoded","SELECT s.name, COUNT(*) FROM raw_audit_logs a JOIN raw_iam_services s ON a.service_id=s.id WHERE a.status IN ('FAILED','FAILURE') AND a.platform_id=6 AND a.created_on >= CURRENT_DATE-30 GROUP BY s.name","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Count
H20,Total Events per Service (Health),Health – Failure by Service,"Count of all events per service for failure rate denominator","failure_by_service[service].total — hardcoded","Same as S08","raw_audit_logs, raw_iam_services","LIVE (Supabase)",Count
